id,longitude,latitude,price,price_label,room_type,neighbourhood_cleansed,minimum_nights,review_scores_rating
1235664811903598376,-79.38779007643461,43.67170383957347,152.0,Average,Entire home/apt,Annex,30,
1161522864236608904,-79.4298068,43.6652424,165.0,Average,Entire home/apt,Dovercourt-Wallace Emerson-Junction,3,5.0
32287407,-79.38154,43.66333,180.0,Average,Entire home/apt,Church-Yonge Corridor,28,
1113723396922394957,-79.43181481800525,43.78932341229321,56.0,Cheap,Private room,Newtonbrook West,1,5.0
1214670433860814446,-79.38297366271705,43.64264120751066,400.0,Expensive,Entire home/apt,Waterfront Communities-The Island,1,
961649851297702269,-79.3402516701143,43.75785761926551,105.0,Average,Entire home/apt,Parkwoods-Donalda,29,5.0
989776551466435072,-79.30698749999999,43.7945697,63.0,Cheap,Private room,L'Amoreaux,1,5.0
34839883,-79.42066,43.65797,12400.0,Expensive,Entire home/apt,Palmerston-Little Italy,30,4.86
1201437020117857323,-79.3093427,43.68099,160.0,Average,Entire home/apt,East End-Danforth,28,
20031504,-79.3895160800885,43.64505609495177,280.0,Expensive,Entire home/apt,Waterfront Communities-The Island,28,
1216091454505814643,-79.34717,43.6585,500.0,Expensive,Entire home/apt,South Riverdale,2,
1158675619087465002,-79.40364567817214,43.636206861711685,299.0,Expensive,Entire home/apt,Niagara,1,4.91
49198605,-79.43424,43.77957,45.0,Cheap,Private room,Newtonbrook West,28,4.5
21295861,-79.41072,43.71186,120.0,Average,Entire home/apt,Lawrence Park South,28,4.84
1178352944759596945,-79.34892654418945,43.65926285503484,214.0,Expensive,Entire home/apt,South Riverdale,1,5.0
995337,-79.40573933747457,43.64674399166913,115.0,Average,Entire home/apt,Niagara,28,5.0
886383707334011186,-79.32493592222521,43.78348862090391,80.0,Cheap,Private room,L'Amoreaux,28,5.0
624737738787052288,-79.51869,43.62647,43.0,Cheap,Private room,Islington-City Centre West,28,5.0
48017898,-79.39046,43.64458,181.0,Average,Entire home/apt,Waterfront Communities-The Island,28,4.93
43554871,-79.39634,43.70618,176.0,Average,Entire home/apt,Mount Pleasant West,30,4.63
9759922,-79.45740620505364,43.66931136212901,80.0,Cheap,Private room,Weston-Pellam Park,1,4.83
21312541,-79.39445,43.6976,176.0,Average,Private room,Mount Pleasant West,28,5.0
901345854614225299,-79.3857514865027,43.65800555821978,499.0,Expensive,Entire home/apt,Bay Street Corridor,28,
1233295829928265120,-79.25162813683386,43.71624270153692,367.0,Expensive,Entire home/apt,Birchcliffe-Cliffside,1,
1039110049694574932,-79.48402370456554,43.65442879223817,213.0,Expensive,Entire home/apt,Runnymede-Bloor West Village,2,5.0
1179067278851890636,-79.39791989999999,43.6398431,169.0,Average,Entire home/apt,Waterfront Communities-The Island,1,4.5
1176290643131425375,-79.50325,43.67224,116.0,Average,Entire home/apt,Rockcliffe-Smythe,2,4.0
1187457106799788860,-79.39316,43.66977,236.0,Expensive,Entire home/apt,Annex,31,5.0
20511530,-79.44937896728516,43.6636962890625,122.0,Average,Private room,Dovercourt-Wallace Emerson-Junction,2,4.79
1143550154917441826,-79.43502,43.66101,42.0,Cheap,Private room,Dovercourt-Wallace Emerson-Junction,28,4.0
